103_1241_000000_000000	CHAPTER II.	CHAPTER two.	false	0.81	23.25	18.930151
103_1241_000035_000001	Matthew was not used to deciding on the tints of ladies' tresses, but in this case there couldn't be much doubt.	matthew was not used to deciding on the tints of ladies' tresses, but in this case there couldn't be much doubt.	true	809.45	815.14	18
103_1241_000036_000000	"It's red, ain't it?" he said.	"It's red, ain't it?" he said.	true	815.39	817.72	16.752903
103_1241_000037_000000	The girl let the braid drop back with a sigh that seemed to come from her very toes and to exhale forth all the sorrows of the ages.	The girl let the braid drop back with a sigh that seemed to come from her very toes and to exhale forth all the sorrows of the ages.	true	817.97	825.64	16
103_1241_000038_000000	"Yes, it's red," she said resignedly.	"Yes, it's red," she said resignedly.	true	826.31	829.21	19.809748
103_1241_000038_000001	"Now you see why I can't be perfectly happy.	"Now you see why I can't be perfectly happy.	true	829.46	832.12	21
103_1241_000038_000002	Nobody could who has red hair.	Nobody could who has red hair.	true	832.22	834.19	19.762623
103_1241_000038_000003	I don't mind the other things so much--the freckles and the green eyes and my skinniness.	I don't mind the other things so much-the freckles and the green eyes and my skinniness.	true	834.32	838.87	17
103_1241_000038_000004	I can imagine them away.	I can imagine them away.	true	838.88	840.37	16
103_1241_000038_000005	I can imagine that I have a beautiful rose-leaf complexion and lovely starry violet eyes.	I can imagine that I have a beautiful rose leaf complexion and lovely starry violet eyes.	false	840.47	846.04	17
103_1241_000038_000006	But I CANNOT imagine that red hair away.	But I CANNOT imagine that red hair away.	true	846.32	848.77	14
103_1241_000038_000007	I do my best.	I do my best.	true	848.87	850.08	18
103_1241_000038_000008	I think to myself, 'Now my hair is a glorious black, black as the raven's wing.' But all the time I KNOW it is just plain red and it breaks my heart.	I think to myself, 'Now my hair is a glorious black, black as the raven's wing.' But all the time I KNOW it is just plain red and it breaks my heart.	true	850.08	860.11	19
103_1241_000038_000009	It will be my lifelong sorrow.	It will be my lifelong sorrow.	true	860.48	862.66	17
103_1241_000038_000010	I read of a girl once in a novel who had a lifelong sorrow but it wasn't red hair.	I read of a girl once in a novel who had a lifelong sorrow but it wasn't red hair.	true	862.91	866.89	14
103_1241_000038_000011	Her hair was pure gold rippling back from her alabaster brow.	Her hair was pure gold rippling back from her alabaster brow.	true	866.9	870.52	19
103_1241_000038_000012	What is an alabaster brow?	What is an alabaster brow?	true	870.77	872.25	19
103_1241_000038_000013	I never could find out.	I never could find out.	true	872.25	873.3	21
103_1241_000038_000014	Can you tell me?"	Can you tell me?"	true	873.3	874.18	21.492573
103_1241_000039_000000	"Well now, I'm afraid I can't," said Matthew, who was getting a little dizzy.	"Well now, I'm afraid I can't," said matthew, who was getting a little dizzy.	true	874.55	878.83	20
103_1241_000039_000001	He felt as he had once felt in his rash youth when another boy had enticed him on the merry-go-round at a picnic.	He felt as he had once felt in his rash youth when another boy had enticed him on the merry go round at a picnic.	true	878.96	884.71	16
103_1241_000040_000000	"Well, whatever it was it must have been something nice because she was divinely beautiful.	"Well, whatever it was it must have been something nice because she was divinely beautiful.	true	885.08	888.79	23.371838
103_1241_000040_000001	Have you ever imagined what it must feel like to be divinely beautiful?"	Have you ever imagined what it must feel like to be divinely beautiful?"	true	889.19	892.24	20
103_1241_000041_000000	"Well now, no, I haven't," confessed Matthew ingenuously.	"Well now, no, I haven't," confessed matthew ingenuously.	true	892.64	897.28	19.415474
103_1241_000042_000000	"I have, often.	"I have, often.	true	897.44	899.11	17.90075
103_1241_000042_000001	Which would you rather be if you had the choice--divinely beautiful or dazzlingly clever or angelically good?"	Which would you rather be if you had the choice-divinely beautiful or dazzlingly clever or angelically good?"	true	899.39	905.14	22.281878
103_1241_000043_000000	"Well now, I--I don't know exactly."	"Well now, I-I don't know exactly."	false	905.81	909.61	21.061777
103_1241_000044_000000	"Neither do I. I can never decide.	"Neither do i I can never decide.	true	909.8	912.4	18.35963
103_1241_000044_000001	But it doesn't make much real difference for it isn't likely I'll ever be either.	But it doesn't make much real difference for it isn't likely I'll ever be either.	true	912.65	916.09	17
103_1241_000044_000002	It's certain I'll never be angelically good.	It's certain I'll never be angelically good.	true	916.13	918.25	20
103_1241_000044_000003	Mrs. Spencer says--oh, Mr. Cuthbert!	mrs Spencer says-oh, mr Cuthbert!	true	918.26	921.225	23.176836
103_1241_000044_000004	Oh, Mr. Cuthbert!!	Oh, mr Cuthbert!!	true	921.225	922.635	23.612097
103_1241_000044_000005	Oh, Mr. Cuthbert!!!"	Oh, mr Cuthbert!!!"	true	922.635	924.55	23.558586
103_1241_000045_000000	That was not what Mrs. Spencer had said; neither had the child tumbled out of the buggy nor had Matthew done anything astonishing.	That was not what mrs Spencer had said; neither had the child tumbled out of the buggy nor had matthew done anything astonishing.	true	925.04	932.08	19
103_1241_000045_000001	They had simply rounded a curve in the road and found themselves in the "Avenue."	They had simply rounded a curve in the road and found themselves in the "Avenue."	true	932.15	936.67	20
103_1241_000046_000000	The "Avenue," so called by the Newbridge people, was a stretch of road four or five hundred yards long, completely arched over with huge, wide-spreading apple-trees, planted years ago by an eccentric old farmer.	The "Avenue," so called by the Newbridge people, was a stretch of road four or five hundred yards long, completely arched over with huge, wide spreading apple trees, planted years ago by an eccentric old farmer.	true	937.01	949.36	19
103_1241_000046_000001	Overhead was one long canopy of snowy fragrant bloom.	Overhead was one long canopy of snowy fragrant bloom.	true	949.76	953.41	14
103_1241_000046_000002	Below the boughs the air was full of a purple twilight and far ahead a glimpse of painted sunset sky shone like a great rose window at the end of a cathedral aisle.	Below the boughs the air was full of a purple twilight and far ahead a glimpse of painted sunset sky shone like a great rose window at the end of a cathedral aisle.	true	953.51	963.79	16
103_1241_000047_000000	Its beauty seemed to strike the child dumb.	Its beauty seemed to strike the child dumb.	true	964.55	967.21	16
103_1241_000047_000001	She leaned back in the buggy, her thin hands clasped before her, her face lifted rapturously to the white splendor above.	She leaned back in the buggy, her thin hands clasped before her, her face lifted rapturously to the white splendor above.	true	967.31	974.2	14
103_1241_000047_000002	Even when they had passed out and were driving down the long slope to Newbridge she never moved or spoke.	Even when they had passed out and were driving down the long slope to Newbridge she never moved or spoke.	true	974.45	980.04	18
103_1241_000047_000003	Still with rapt face she gazed afar into the sunset west, with eyes that saw visions trooping splendidly across that glowing background.	Still with rapt face she gazed afar into the sunset west, with eyes that saw visions trooping splendidly across that glowing background.	true	980.04	988.15	17
103_1241_000047_000004	Through Newbridge, a bustling little village where dogs barked at them and small boys hooted and curious faces peered from the windows, they drove, still in silence.	Through Newbridge, a bustling little village where dogs barked at them and small boys hooted and curious faces peered from the windows, they drove, still in silence.	true	988.55	997.15	16
103_1241_000047_000005	When three more miles had dropped away behind them the child had not spoken.	When three more miles had dropped away behind them the child had not spoken.	true	997.61	1001.8	19.880795
103_1241_000047_000006	She could keep silence, it was evident, as energetically as she could talk.	She could keep silence, it was evident, as energetically as she could talk.	true	1001.93	1006.27	16.919827
103_1241_000048_000000	"I guess you're feeling pretty tired and hungry," Matthew ventured to say at last, accounting for her long visitation of dumbness with the only reason he could think of.	"I guess you're feeling pretty tired and hungry," matthew ventured to say at last, accounting for her long visitation of dumbness with the only reason he could think of.	true	1006.4	1015.57	14
103_1241_000048_000001	"But we haven't very far to go now--only another mile."	"But we haven't very far to go now-only another mile."	true	1015.82	1019.05	16
103_1241_000049_000000	She came out of her reverie with a deep sigh and looked at him with the dreamy gaze of a soul that had been wondering afar, star-led.	She came out of her reverie with a deep sigh and looked at him with the dreamy gaze of a soul that had been wondering afar, star led.	true	1019.81	1026.88	13
103_1241_000050_000000	"Oh, Mr. Cuthbert," she whispered, "that place we came through--that white place--what was it?"	"Oh, mr Cuthbert," she whispered, "that place we came through-that white place-what was it?"	true	1027.49	1033.93	17.696184
103_1241_000051_000000	"Well now, you must mean the Avenue," said Matthew after a few moments' profound reflection.	"Well now, you must mean the Avenue," said matthew after a few moments' profound reflection.	true	1034.27	1039.84	15
103_1241_000051_000001	"It is a kind of pretty place."	"It is a kind of pretty place."	true	1040.21	1042.09	14
103_1241_000052_000000	"Pretty?	"Pretty?	true	1042.37	1043.29	17.165907
103_1241_000052_000001	Oh, PRETTY doesn't seem the right word to use.	Oh, PRETTY doesn't seem the right word to use.	true	1043.54	1046.32	19
103_1241_000052_000002	Nor beautiful, either.	Nor beautiful, either.	true	1046.36	1047.85	17.249453
103_1241_000052_000003	They don't go far enough.	They don't go far enough.	true	1048.1	1049.97	16.810091
103_1241_000052_000004	Oh, it was wonderful--wonderful. It's the first thing I ever saw that couldn't be improved upon by imagination.	Oh, it was wonderful-wonderful. It's the first thing I ever saw that couldn't be improved upon by imagination.	true	1049.97	1056.79	16
103_1241_000052_000005	It just satisfies me here"--she put one hand on her breast--"it made a queer funny ache and yet it was a pleasant ache.	It just satisfies me here"--she put one hand on her breast-"it made a queer funny ache and yet it was a pleasant ache.	false	1056.89	1064.89	18.53057
103_1241_000052_000006	Did you ever have an ache like that, Mr. Cuthbert?"	Did you ever have an ache like that, mr Cuthbert?"	true	1064.99	1067.53	21.283875
103_1241_000053_000000	"Well now, I just can't recollect that I ever had."	"Well now, I just can't recollect that I ever had."	true	1067.9	1071.85	21.32116
103_1241_000054_000000	"I have it lots of time--whenever I see anything royally beautiful.	"I have it lots of time-whenever I see anything royally beautiful.	false	1072.22	1076.37	19
103_1241_000054_000001	But they shouldn't call that lovely place the Avenue.	But they shouldn't call that lovely place the Avenue.	false	1076.37	1079.74	17.588568
103_1241_000054_000002	There is no meaning in a name like that.	There is no meaning in a name like that.	true	1079.81	1081.96	13.3825655
103_1241_000054_000003	They should call it--let me see--the White Way of Delight.	They should call it-let me see-the White Way of Delight.	true	1082.03	1087.18	19.377184
103_1241_000054_000004	Isn't that a nice imaginative name?	Isn't that a nice imaginative name?	true	1087.28	1089.67	17
103_1241_000054_000005	When I don't like the name of a place or a person I always imagine a new one and always think of them so.	When I don't like the name of a place or a person I always imagine a new one and always think of them so.	true	1089.89	1095.16	18
103_1241_000054_000006	There was a girl at the asylum whose name was Hepzibah Jenkins, but I always imagined her as Rosalia DeVere.	There was a girl at the asylum whose name was Hepzibah Jenkins, but I always imagined her as Rosalia DeVere.	false	1095.47	1101.13	18
103_1241_000054_000007	Other people may call that place the Avenue, but I shall always call it the White Way of Delight. Have we really only another mile to go before we get home?	Other people may call that place the Avenue, but I shall always call it the White Way of Delight. Have we really only another mile to go before we get home?	true	1101.14	1109.74	20.045303
103_1241_000054_000008	I'm glad and I'm sorry.	I'm glad and I'm sorry.	true	1109.75	1111.39	17.641953
103_1241_000054_000009	I'm sorry because this drive has been so pleasant and I'm always sorry when pleasant things end.	I'm sorry because this drive has been so pleasant and I'm always sorry when pleasant things end.	false	1111.67	1117.41	18.092869
103_1241_000054_000010	Something still pleasanter may come after, but you can never be sure.	Something still pleasanter may come after, but you can never be sure.	true	1117.41	1121.44	20.654446
103_1241_000054_000011	And it's so often the case that it isn't pleasanter.	And it's so often the case that it isn't pleasanter.	true	1121.51	1123.93	19
103_1241_000054_000012	That has been my experience anyhow.	That has been my experience anyhow.	true	1124.03	1125.94	17
103_1241_000054_000013	But I'm glad to think of getting home.	But I'm glad to think of getting home.	true	1126.28	1128.01	21.62769
103_1241_000054_000014	You see, I've never had a real home since I can remember.	You see, I've never had a real home since I can remember.	true	1128.02	1131.03	17.356096
103_1241_000054_000015	It gives me that pleasant ache again just to think of coming to a really truly home.	It gives me that pleasant ache again just to think of coming to a really truly home.	false	1131.03	1135.33	14
103_1241_000054_000016	Oh, isn't that pretty!"	Oh, isn't that pretty!"	true	1135.82	1137.43	16
103_1241_000055_000000	They had driven over the crest of a hill.	They had driven over the crest of a hill.	true	1137.92	1139.83	18.689894
103_1241_000055_000001	Below them was a pond, looking almost like a river so long and winding was it.	Below them was a pond, looking almost like a river so long and winding was it.	true	1139.96	1144.39	16
103_1241_000055_000002	A bridge spanned it midway and from there to its lower end, where an amber-hued belt of sand-hills shut it in from the dark blue gulf beyond, the water was a glory of many shifting hues--the most spiritual shadings of crocus and rose and ethereal green, with other elusive tintings for which no name has ever been found.	A bridge spanned it midway and from there to its lower end, where an amber hued belt of sand hills shut it in from the dark blue gulf beyond, the water was a glory of many shifting hues-the most spiritual shadings of crocus and rose and ethereal green, with other elusive tintings for which no name has ever been found.	true	1144.58	1163.2	14
103_1241_000055_000003	Above the bridge the pond ran up into fringing groves of fir and maple and lay all darkly translucent in their wavering shadows.	Above the bridge the pond ran up into fringing groves of fir and maple and lay all darkly translucent in their wavering shadows.	true	1163.9	1171.75	16
103_1241_000055_000004	Here and there a wild plum leaned out from the bank like a white-clad girl tip-toeing to her own reflection.	Here and there a wild plum leaned out from the bank like a white clad girl tip toeing to her own reflection.	true	1171.91	1178.44	18
103_1241_000055_000005	From the marsh at the head of the pond came the clear, mournfully-sweet chorus of the frogs. There was a little gray house peering around a white apple orchard on a slope beyond and, although it was not yet quite dark, a light was shining from one of its windows.	From the marsh at the head of the pond came the clear, mournfully sweet chorus of the frogs. There was a little gray house peering around a white apple orchard on a slope beyond and, although it was not yet quite dark, a light was shining from one of its windows.	true	1178.75	1193.74	18
103_1241_000056_000000	"That's Barry's pond," said Matthew.	"That's Barry's pond," said matthew.	true	1194.02	1196.41	20.02502
103_1241_000057_000000	"Oh, I don't like that name, either.	"Oh, I don't like that name, either.	true	1196.54	1198.21	19.636885
103_1241_000057_000001	I shall call it--let me see--the Lake of Shining Waters.	I shall call it-let me see-the Lake of Shining Waters.	true	1198.22	1203.1	19
103_1241_000057_000002	Yes, that is the right name for it.	Yes, that is the right name for it.	true	1203.2	1205.35	18.605621
103_1241_000057_000003	I know because of the thrill.	I know because of the thrill.	true	1205.36	1206.91	19.015032
103_1241_000057_000004	When I hit on a name that suits exactly it gives me a thrill.	When I hit on a name that suits exactly it gives me a thrill.	true	1206.92	1209.93	15
103_1241_000057_000005	Do things ever give you a thrill?"	Do things ever give you a thrill?"	false	1209.93	1211.89	17.339493
103_1241_000058_000000	Matthew ruminated.	matthew ruminated.	true	1212.02	1213.33	16.677063
103_1241_000059_000000	"Well now, yes.	"Well now, yes.	true	1213.37	1216.3	16.685455
103_1241_000059_000001	It always kind of gives me a thrill to see them ugly white grubs that spade up in the cucumber beds.	It always kind of gives me a thrill to see them ugly white grubs that spade up in the cucumber beds.	true	1216.46	1222.79	15
103_1241_000059_000002	I hate the look of them."	I hate the look of them."	true	1222.79	1224.43	10
103_1241_000060_000000	"Oh, I don't think that can be exactly the same kind of a thrill.	"Oh, I don't think that can be exactly the same kind of a thrill.	true	1225.16	1228.93	18.485533
103_1241_000060_000001	Do you think it can?	Do you think it can?	true	1228.97	1230.1	22.517086
103_1241_000060_000002	There doesn't seem to be much connection between grubs and lakes of shining waters, does there?	There doesn't seem to be much connection between grubs and lakes of shining waters, does there?	true	1230.47	1234.93	13
103_1241_000060_000003	But why do other people call it Barry's pond?"	But why do other people call it Barry's pond?"	true	1235.45	1237.75	20.07788
103_1241_000061_000000	"I reckon because Mr. Barry lives up there in that house.	"I reckon because mr Barry lives up there in that house.	true	1238.03	1241.68	15.190677
103_1241_000061_000001	Orchard Slope's the name of his place.	Orchard Slope's the name of his place.	true	1241.68	1243.69	20
103_1241_000061_000002	If it wasn't for that big bush behind it you could see Green Gables from here.	If it wasn't for that big bush behind it you could see Green Gables from here.	true	1243.82	1247.83	15
103_1241_000061_000003	But we have to go over the bridge and round by the road, so it's near half a mile further."	But we have to go over the bridge and round by the road, so it's near half a mile further."	true	1247.99	1252.78	17
103_1241_000062_000000	"Has Mr. Barry any little girls?	"Has mr Barry any little girls?	true	1253.12	1255.06	17
103_1241_000062_000001	Well, not so very little either--about my size."	Well, not so very little either-about my size."	true	1255.1	1258.24	19.547527
103_1241_000063_000000	"He's got one about eleven.	"He's got one about eleven.	true	1258.4	1260.22	18
103_1241_000063_000001	Her name is Diana."	Her name is Diana."	true	1260.22	1261.36	13
103_1241_000064_000000	"Oh!" with a long indrawing of breath.	"Oh!" with a long indrawing of breath.	true	1262.42	1265.68	17.580265
103_1241_000064_000001	"What a perfectly lovely name!"	"What a perfectly lovely name!"	true	1265.87	1268.29	14
103_1241_000065_000000	"Well now, I dunno.	"Well now, I dunno.	false	1268.36	1270.23	11
103_1241_000065_000001	There's something dreadful heathenish about it, seems to me.	There's something dreadful heathenish about it, seems to me.	false	1270.23	1273.63	17
103_1241_000065_000002	I'd ruther Jane or Mary or some sensible name like that. But when Diana was born there was a schoolmaster boarding there and they gave him the naming of her and he called her Diana."	I'd ruther Jane or Mary or some sensible name like that. But when Diana was born there was a schoolmaster boarding there and they gave him the naming of her and he called her Diana."	true	1273.82	1285.24	18.389172
103_1241_000066_000000	"I wish there had been a schoolmaster like that around when I was born, then.	"I wish there had been a schoolmaster like that around when I was born, then.	true	1285.61	1289.02	16
103_1241_000066_000001	Oh, here we are at the bridge.	Oh, here we are at the bridge.	true	1289.54	1291.24	17
103_1241_000066_000002	I'm going to shut my eyes tight. I'm always afraid going over bridges.	I'm going to shut my eyes tight. I'm always afraid going over bridges.	true	1291.34	1294.81	19
103_1241_000066_000003	I can't help imagining that perhaps just as we get to the middle, they'll crumple up like a jack-knife and nip us.	I can't help imagining that perhaps just as we get to the middle, they'll crumple up like a jack knife and nip us.	true	1294.97	1300.81	17
103_1241_000066_000004	So I shut my eyes.	So I shut my eyes.	true	1300.85	1302.01	22
103_1241_000066_000005	But I always have to open them for all when I think we're getting near the middle.	But I always have to open them for all when I think we're getting near the middle.	true	1302.47	1305.4	19
103_1241_000066_000006	Because, you see, if the bridge DID crumple up I'd want to SEE it crumple.	Because, you see, if the bridge DID crumple up I'd want to SEE it crumple.	true	1305.53	1309.83	21.369099
103_1241_000066_000007	What a jolly rumble it makes!	What a jolly rumble it makes!	false	1309.83	1311.97	18.22323
103_1241_000066_000008	I always like the rumble part of it.	I always like the rumble part of it.	true	1312.19	1314.01	20.004461
103_1241_000066_000009	Isn't it splendid there are so many things to like in this world?	Isn't it splendid there are so many things to like in this world?	true	1314.08	1317.16	15
103_1241_000066_000010	There we're over.	There we're over.	true	1317.5	1319.17	17.724558
103_1241_000066_000011	Now I'll look back.	Now I'll look back.	true	1319.36	1320.64	22.808994
103_1241_000066_000012	Good night, dear Lake of Shining Waters.	Good night, dear Lake of Shining Waters.	true	1320.86	1323.16	16
103_1241_000066_000013	I always say good night to the things I love, just as I would to people.	I always say good night to the things I love, just as I would to people.	true	1323.53	1326.64	18
103_1241_000066_000014	I think they like it.	I think they like it.	true	1326.64	1327.84	12
103_1241_000066_000015	That water looks as if it was smiling at me."	That water looks as if it was smiling at me."	true	1328.03	1330.36	17
103_1241_000067_000000	When they had driven up the further hill and around a corner Matthew said:	When they had driven up the further hill and around a corner matthew said:	true	1331.18	1334.59	15
103_1241_000068_000000	"We're pretty near home now.	"We're pretty near home now.	true	1334.66	1336.08	7
103_1241_000068_000001	That's Green Gables over--"	That's Green Gables over-"	true	1336.08	1337.55	14
103_1241_000069_000000	"Oh, don't tell me," she interrupted breathlessly, catching at his partially raised arm and shutting her eyes that she might not see his gesture.	"Oh, don't tell me," she interrupted breathlessly, catching at his partially raised arm and shutting her eyes that she might not see his gesture.	true	1337.55	1344.37	15
103_1241_000069_000001	"Let me guess.	"Let me guess.	true	1344.41	1345.33	14
103_1241_000069_000002	I'm sure I'll guess right."	I'm sure I'll guess right."	true	1345.37	1346.74	22.008917
103_1241_000070_000000	She opened her eyes and looked about her.	She opened her eyes and looked about her.	true	1347.26	1349.2	17.443283
103_1241_000070_000001	They were on the crest of a hill.	They were on the crest of a hill.	true	1349.42	1351.06	19.011347
103_1241_000070_000002	The sun had set some time since, but the landscape was still clear in the mellow afterlight.	The sun had set some time since, but the landscape was still clear in the mellow afterlight.	true	1351.13	1355.89	15
103_1241_000070_000003	To the west a dark church spire rose up against a marigold sky.	To the west a dark church spire rose up against a marigold sky.	true	1356.11	1359.85	19
103_1241_000070_000004	Below was a little valley and beyond a long, gently-rising slope with snug farmsteads scattered along it.	Below was a little valley and beyond a long, gently rising slope with snug farmsteads scattered along it.	true	1360.04	1366.57	16.829525
103_1241_000070_000005	From one to another the child's eyes darted, eager and wistful.	From one to another the child's eyes darted, eager and wistful.	true	1366.94	1370.59	16
103_1241_000070_000006	At last they lingered on one away to the left, far back from the road, dimly white with blossoming trees in the twilight of the surrounding woods.	At last they lingered on one away to the left, far back from the road, dimly white with blossoming trees in the twilight of the surrounding woods.	true	1370.69	1378.51	16
103_1241_000070_000007	Over it, in the stainless southwest sky, a great crystal-white star was shining like a lamp of guidance and promise.	Over it, in the stainless southwest sky, a great crystal white star was shining like a lamp of guidance and promise.	true	1378.73	1386.07	16
103_1241_000071_000000	"That's it, isn't it?" she said, pointing.	"That's it, isn't it?" she said, pointing.	true	1387.34	1390	21.471941
103_1241_000072_000000	Matthew slapped the reins on the sorrel's back delightedly.	matthew slapped the reins on the sorrel's back delightedly.	true	1390.16	1393.12	18
103_1241_000073_000000	"Well now, you've guessed it!	"Well now, you've guessed it!	true	1393.34	1395.4	16.494772
103_1241_000073_000001	But I reckon Mrs. Spencer described it so's you could tell."	But I reckon mrs Spencer described it so's you could tell."	true	1395.71	1398.91	20.420187
103_1241_000074_000000	"No, she didn't--really she didn't.	"No, she didn't-really she didn't.	true	1399.1	1401.24	21.626932
103_1241_000074_000001	All she said might just as well have been about most of those other places.	All she said might just as well have been about most of those other places.	true	1401.24	1405.33	22.300243
103_1241_000074_000002	I hadn't any real idea what it looked like.	I hadn't any real idea what it looked like.	true	1405.43	1407.81	20.893265
103_1241_000074_000003	But just as soon as I saw it I felt it was home.	But just as soon as I saw it I felt it was home.	false	1407.81	1410.64	16
103_1241_000074_000004	Oh, it seems as if I must be in a dream.	Oh, it seems as if I must be in a dream.	true	1410.83	1413.4	19
103_1241_000074_000005	Do you know, my arm must be black and blue from the elbow up, for I've pinched myself so many times today. Every little while a horrible sickening feeling would come over me and I'd be so afraid it was all a dream.	Do you know, my arm must be black and blue from the elbow up, for I've pinched myself so many times today. Every little while a horrible sickening feeling would come over me and I'd be so afraid it was all a dream.	false	1413.59	1424.06	16
103_1241_000074_000006	Then I'd pinch myself to see if it was real--until suddenly I remembered that even supposing it was only a dream I'd better go on dreaming as long as I could; so I stopped pinching.	Then I'd pinch myself to see if it was real-until suddenly I remembered that even supposing it was only a dream I'd better go on dreaming as long as I could; so I stopped pinching.	true	1424.06	1432.36	17
103_1241_000074_000007	But it IS real and we're nearly home."	But it IS real and we're nearly home."	true	1432.52	1435.18	18.800713
103_1241_000075_000000	With a sigh of rapture she relapsed into silence.	With a sigh of rapture she relapsed into silence.	true	1435.58	1438.33	16
103_1241_000075_000001	Matthew stirred uneasily.	matthew stirred uneasily.	true	1438.61	1440.31	17
103_1241_000075_000002	He felt glad that it would be Marilla and not he who would have to tell this waif of the world that the home she longed for was not to be hers after all.	He felt glad that it would be Marilla and not he who would have to tell this waif of the world that the home she longed for was not to be hers after all.	true	1440.53	1448.44	18
103_1241_000075_000003	They drove over Lynde's Hollow, where it was already quite dark, but not so dark that Mrs. Rachel could not see them from her window vantage, and up the hill and into the long lane of Green Gables.	They drove over Lynde's Hollow, where it was already quite dark, but not so dark that mrs Rachel could not see them from her window vantage, and up the hill and into the long lane of Green Gables.	true	1448.99	1460.26	18.940664
103_1241_000075_000004	By the time they arrived at the house Matthew was shrinking from the approaching revelation with an energy he did not understand.	By the time they arrived at the house matthew was shrinking from the approaching revelation with an energy he did not understand.	true	1460.54	1466.98	16
103_1241_000075_000005	It was not of Marilla or himself he was thinking of the trouble this mistake was probably going to make for them, but of the child's disappointment. When he thought of that rapt light being quenched in her eyes he had an uncomfortable feeling that he was going to assist at murdering something--much the same feeling that came over him when he had to kill a lamb or calf or any other innocent little creature.	It was not of Marilla or himself he was thinking of the trouble this mistake was probably going to make for them, but of the child's disappointment. When he thought of that rapt light being quenched in her eyes he had an uncomfortable feeling that he was going to assist at murdering something-much the same feeling that came over him when he had to kill a lamb or calf or any other innocent little creature.	true	1467.26	1488.34	17
103_1241_000076_000000	The yard was quite dark as they turned into it and the poplar leaves were rustling silkily all round it.	The yard was quite dark as they turned into it and the poplar leaves were rustling silkily all round it.	false	1488.92	1494.04	20
103_1241_000077_000000	"Listen to the trees talking in their sleep," she whispered, as he lifted her to the ground.	"Listen to the trees talking in their sleep," she whispered, as he lifted her to the ground.	true	1494.62	1498.74	13
103_1241_000077_000001	"What nice dreams they must have!"	"What nice dreams they must have!"	false	1498.74	1501.12	14
103_1241_000078_000000	Then, holding tightly to the carpet-bag which contained "all her worldly goods," she followed him into the house.	Then, holding tightly to the carpet bag which contained "all her worldly goods," she followed him into the house.	false	1501.58	1509.78	17.048023
103_1241_000079_000000	CHAPTER III.	CHAPTER three.	false	1509.78	1510.2	14
103_1241_000079_000001	Marilla Cuthbert is Surprised	Marilla Cuthbert is Surprised	false	1510.2	1510.68	18.461111
